,price,longitude,latitude,neighborhood
1101,1750,-74.0025,40.7185,SoHo_TriBeCa_Civic_Center_Little_Italy
1102,1200,-73.7395,41.0592,None
1103,1045,-73.942,40.8382,Washington_Heights_South
1104,1200,-73.7395,41.0592,None
1105,1000,-73.94243399999998,40.786455,East_Harlem_South
1106,1350,-73.9563,40.7095,North_Side_South_Side
1107,1230,-73.9877,40.7152,Lower_East_Side
1108,1800,-73.974638,40.73260300000001,Stuyvesant_Town_Cooper_Village
1109,1000,-73.93995799999998,40.70839,Bushwick_South
1110,1000,-73.942263,40.78652,East_Harlem_South
1111,1325,-73.9798,40.6816,Park_Slope_Gowanus
1112,2133,-73.9813,40.7375,Gramercy
1113,1300,-73.931701,40.695051,Bushwick_South
1114,1100,-73.9507,40.8246,Hamilton_Heights
1115,1500,-73.37172,41.098596,None
1116,600,-73.2019,41.1796,None
1117,800,-73.962942,40.711905,North_Side_South_Side
1118,615,-73.9683,40.7975,Upper_West_Side
1119,1400,-73.952751,40.768062,Lenox_Hill_Roosevelt_Island
1120,1400,-73.952751,40.768062,Lenox_Hill_Roosevelt_Island
1121,1150,-73.94239499999998,40.786438,East_Harlem_South
1122,1150,-73.94239499999998,40.786438,East_Harlem_South
1123,650,-73.9367,40.67,Crown_Heights_North
1124,650,-73.9367,40.67,Crown_Heights_North
1125,2300,-74.0013,40.7101,Chinatown
1126,775,-73.927766,40.862926,Washington_Heights_North
1127,1850,-74.003206,40.742887,Hudson_Yards_Chelsea_Flatiron_Union_Square
1128,950,-73.948593,40.828976,Hamilton_Heights
1129,2000,-73.954163,40.707937,North_Side_South_Side
1130,1500,-73.9683,40.7975,Upper_West_Side
1131,850,-73.936949,40.69603,Stuyvesant_Heights
1132,1200,-73.978983,40.680978,Park_Slope_Gowanus
1133,750,-73.916942,40.671607,Ocean_Hill
1134,740,-73.941351,40.834212,Washington_Heights_South
1135,750,-73.916942,40.671607,Ocean_Hill
1136,800,-73.957594,40.729879,Greenpoint
1137,1000,-73.93361800000002,40.851681,Washington_Heights_North
1138,1875,-73.947461,40.787753,East_Harlem_South
1139,1375,-73.99562399999998,40.690596,Brooklyn_Heights_Cobble_Hill
1140,1475,-73.9511,40.7816,Yorkville
1141,1150,-73.9758,40.6424,Kensington_Ocean_Parkway
1142,955,-73.9683,40.7975,Upper_West_Side
1143,1100,-73.9345,40.7446,Hunters_Point_Sunnyside_West_Maspeth
1144,1875,-73.947461,40.787753,East_Harlem_South
1145,1150,-73.989317,40.669161,Park_Slope_Gowanus
1146,800,-73.90442,40.75221,Woodside
1147,1700,-73.9858,40.7651,Clinton
1148,1180,-73.943427,40.718934,East_Williamsburg
1149,760,-73.890599,40.864795,Bedford_Park_Fordham_North
1150,1675,-73.9858,40.7651,Clinton
1151,600,-73.924049,40.69821500000001,Bushwick_South
1152,1875,-73.998928,40.742412,Hudson_Yards_Chelsea_Flatiron_Union_Square
1153,1895,-73.9996,40.7402,Hudson_Yards_Chelsea_Flatiron_Union_Square
1154,790,-73.8776,40.7351,Elmhurst
